10-05-2021_16-06-00 192.168.195.233 [INFO] starting radiation experiment...
10-05-2021_16-06-00 192.168.195.233 [INFO] BOARD HARD RESET...
10-05-2021_16-06-03 192.168.195.233 [INFO] EXPERIMENT RESUMED
10-05-2021_16-06-21 192.168.195.233 [INFO] TIMEOUT... APP CRASHED
10-05-2021_16-06-21 192.168.195.233 [INFO] EXPERIMENT RESUMED
10-05-2021_16-06-40 192.168.195.233 [INFO] TIMEOUT... APP CRASHED
10-05-2021_16-06-40 192.168.195.233 [INFO] EXPERIMENT RESUMED
10-05-2021_16-07-00 192.168.195.233 [INFO] TIMEOUT... APP CRASHED
10-05-2021_16-07-00 192.168.195.233 [INFO] EXPERIMENT RESUMED
10-05-2021_16-07-21 192.168.195.233 [INFO] TIMEOUT... APP CRASHED
10-05-2021_16-07-21 192.168.195.233 [INFO] EXPERIMENT RESUMED
10-05-2021_16-07-26 192.168.195.233 [PL] DD 00000000406b1303ff0f5b43406b1303ff0f5b43406b1303ff0f5b43406b1303ff0f5b43
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000001407182d61adcf082407182d61adcf082407182d61adcf082407182d61adcf082
10-05-2021_16-07-26 192.168.195.233 [PL] CC 000000024071ac807ac9b7774071ac807ac9b7774071ac807ac9b7774071ac807ac9b777
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000003407118dff84abf5e407118dff84abf5e407118dff84abf5e407118dff84abf5e
10-05-2021_16-07-26 192.168.195.233 [PL] CC 000000044075a28776ca4f644075a28776ca4f644075a28776ca4f644075a28776ca4f64
10-05-2021_16-07-26 192.168.195.233 [PL] CC 000000054077d63e98631a494077d63e98631a494077d63e98631a494077d63e98631a49
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000006407a6e6ed3bddd0f407a6e6ed3bddd0f407a6e6ed3bddd0f407a6e6ed3bddd0f
10-05-2021_16-07-26 192.168.195.233 [PL] CC 000000074074899e6136ee1c4074899e6136ee1c4074899e6136ee1c4074899e6136ee1c
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000008407b725e9a6ea134407b725e9a6ea134407b725e9a6ea134407b725e9a6ea134
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000009406bc0f32f92645a406bc0f32f92645a406bc0f32f92645a406bc0f32f92645a
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000000a4075bbe9802a4f234075bbe9802a4f234075bbe9802a4f234075bbe9802a4f23
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000000b40700d77e4910bed40700d77e4910bed40700d77e4910bed40700d77e4910bed
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000000c40743f3be5953ee640743f3be5953ee640743f3be5953ee640743f3be5953ee6
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000000d4077d7f07196d4bf4077d7f07196d4bf4077d7f07196d4bf4077d7f07196d4bf
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000000e407333d471d05aa5407333d471d05aa5407333d471d05aa5407333d471d05aa5
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000000f40782329457cb5cd40782329457cb5cd40782329457cb5cd40782329457cb5cd
10-05-2021_16-07-26 192.168.195.233 [PL] CC 000000104070cdff2ecd5c164070cdff2ecd5c164070cdff2ecd5c164070cdff2ecd5c16
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000011407708711de5b25f407708711de5b25f407708711de5b25f407708711de5b25f
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000012407130e3ad53f8ea407130e3ad53f8ea407130e3ad53f8ea407130e3ad53f8ea
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000013407737948185d292407737948185d292407737948185d292407737948185d292
10-05-2021_16-07-26 192.168.195.233 [PL] CC 000000144079fb0d20166af84079fb0d20166af84079fb0d20166af84079fb0d20166af8
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000015406ffe9c9167d210406ffe9c9167d210406ffe9c9167d210406ffe9c9167d210
10-05-2021_16-07-26 192.168.195.233 [PL] CC 000000164071f8e9914a4fdb4071f8e9914a4fdb4071f8e9914a4fdb4071f8e9914a4fdb
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000017407054d5f264c724407054d5f264c724407054d5f264c724407054d5f264c724
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000018407165e0fb2b200d407165e0fb2b200d407165e0fb2b200d407165e0fb2b200d
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000001940756b0f7b65003440756b0f7b65003440756b0f7b65003440756b0f7b650034
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000001a40775008f0bd72fb40775008f0bd72fb40775008f0bd72fb40775008f0bd72fb
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000001b4079516562b1f2dc4079516562b1f2dc4079516562b1f2dc4079516562b1f2dc
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000001c40735816204b595640735816204b595640735816204b595640735816204b5956
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000001d406bcb04306d004a406bcb04306d004a406bcb04306d004a406bcb04306d004a
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000001e4076aef0aef36ca64076aef0aef36ca64076aef0aef36ca64076aef0aef36ca6
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000001f407222b4f6012f7a407222b4f6012f7a407222b4f6012f7a407222b4f6012f7a
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000020406d6165a7f6bca9406d6165a7f6bca9406d6165a7f6bca9406d6165a7f6bca9
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000021407b94425ee4ab41407b94425ee4ab41407b94425ee4ab41407b94425ee4ab41
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000002240798a155eb1950840798a155eb1950840798a155eb1950840798a155eb19508
10-05-2021_16-07-26 192.168.195.233 [PL] CC 0000002340745d1f094c91d840745d1f094c91d840745d1f094c91d840745d1f094c91d8
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000024407969a47ea32ff1407969a47ea32ff1407969a47ea32ff1407969a47ea32ff1
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000025407892e95da10cb9407892e95da10cb9407892e95da10cb9407892e95da10cb9
10-05-2021_16-07-26 192.168.195.233 [PL] CC 00000026407681912d7bcb9b407681912d7bcb9b407681912d7bcb9b407681912d7bcb9b
